M,Y,State,Administered_Dose1_Pop_Pct,Administered_Cumulative,new_case,new_death,tot_cases
01,2022,PA,79.9,20794011,17611,1,2077224
01,2022,PR,90,6229711,26098,2,298388
01,2022,PW,88.2,37413,4,0,16
01,2022,RI,91.2,1998644,2389,6,227360
01,2022,SC,64.4,6887890,10954,29,999784
01,2022,SD,72.3,1283075,0,0,179204
01,2022,TN,59.9,9204167,7696,0,1444869
01,2022,TX,68.6,41878877,55260,0,4684264
01,2022,UT,69,4740691,0,0,636992
01,2022,VA,81.8,14947143,0,0,1133238
01,2022,VI,61.3,132787,0,0,10106
01,2022,VT,90.2,1285293,415,2,61709
01,2022,WA,77.3,12907990,7701,0,874951
01,2022,WI,69,9278905,0,0,1120669
01,2022,WV,62.8,2535481,0,0,328162
01,2022,WY,56.3,697690,0,0,115638
01,2021,AK,3.3,24181,168,2,46698
01,2021,AL,1.1,52901,2102,76,370428
01,2021,AR,2,61457,2033,20,233475
01,2021,AS,2.4,1083,0,0,3
01,2021,AZ,1.6,124037,17237,0,556745
01,2021,CA,1.5,614599,45352,258,2391261
01,2021,CO,2.4,141884,1918,22,353912
01,2021,CT,2.5,89405,0,0,190120
01,2021,DC,1.5,22617,255,2,29764
01,2021,DE,1.7,18106,625,0,59993
01,2021,FL,1.5,341606,11235,170,1345340
01,2021,GA,1.1,124282,5778,4,690900
01,2021,GU,3.2,5580,36,1,7344
01,2021,HI,2.6,38261,122,0,21539
01,2021,IA,2,64512,1048,0,284378
01,2021,ID,1.6,29858,308,0,142507
01,2021,IL,1.8,227359,4469,105,979821
01,2021,IN,1.9,134969,2993,63,526320
01,2021,KS,2.1,60985,0,0,227745
01,2021,KY,2.1,82648,2832,41,282537
01,2021,LA,1.4,65101,5783,49,321058
01,2021,MA,2.1,144882,3481,63,387662
01,2021,MD,1.6,89250,2148,44,285319
01,2021,ME,2.7,37178,450,1,26959
01,2021,MI,1.7,174195,2349,83,596641
01,2021,MN,1.9,111605,2712,53,420544
01,2021,MO,1.8,119799,2498,47,456021
01,2021,MP,5.9,3053,0,0,122
01,2021,MS,1.1,31187,1294,35,226936
01,2021,MT,2.8,31619,437,1,82381
01,2021,NC,1.4,150575,6581,83,572178
01,2021,ND,3.3,25851,199,2,93240
01,2021,NE,2.6,52452,583,3,169226
01,2021,NH,2.4,31158,1266,11,46450
01,2021,NJ,1.6,130055,4049,21,543595
01,2021,NM,3.1,66108,1015,17,146394
01,2021,NV,1.4,44105,2747,32,231618
01,2021,NY,1.7,374310,8028,114,577232
01,2021,OH,1.7,203831,6808,59,721481
01,2021,OK,2.3,93072,2971,51,334353
01,2021,OR,1.8,79926,1397,8,117745
01,2021,PA,1.9,234404,4844,56,669802
01,2021,PR,2.5,78250,405,10,81132
01,2021,PW,0.3,59,0,0,0
01,2021,RI,2.7,29436,779,20,87796
01,2021,SC,1.2,63828,5253,28,334313
01,2021,SD,3.6,31530,703,12,100532
01,2021,TN,2.8,207111,7193,15,599391
01,2021,TX,2,599867,16095,302,1793341
01,2021,UT,2,64491,1819,7,283473
01,2021,VA,1.8,168433,3771,8,367536
01,2021,VI,1.4,1522,1,0,2042
01,2021,VT,3.1,20379,87,0,7300
01,2021,WA,1.8,147765,1785,-2,253436
01,2021,WI,1.7,97793,2593,5,526245
01,2021,WV,3.3,69350,1731,3,91058
01,2021,WY,1.8,10781,302,0,44875
01,2022,AK,67.3,1053803,2786,0,154369
01,2022,AL,60.3,5814762,8916,11,923103
01,2022,AR,63.9,3894081,1750,25,574572
01,2022,AS,87.9,80385,0,0,11
01,2022,AZ,68.7,10855485,14192,0,1404601
01,2022,CA,78.8,66195137,71195,0,5548724
01,2022,CO,76.2,9767605,7425,22,969993
01,2022,CT,90.2,6814055,23678,50,533866
01,2022,DC,91.8,1353878,9201,7,103487
